Iteration,PitchVar,EnergyMean,SpeechRate,ConfScore,Reward
1,417.52153128848636,0.04529379,6.521739130434783,0.0,0.75
2,454.06397705322854,0.022809993,16.4,0.0,0.6900832789639633
3,0,0.023337703,0.0,0.0,0.1944808599849542
4,0,0.019519733,0.0,0.0,0.16266444387535256
5,0,0.020968644,0.0,0.0,0.1747386995702982
1,438.9105272991151,0.026599405,5.747126436781609,0.9649180173873901,0.7253729342554625
2,26.99382052459939,0.0112402225,4.4,0.9857606887817383,0.3924496088999104
3,3.0844528491663885,0.02336574,1.0,0.9787405133247375,0.32861963911316056
4,2.6418541494753662,0.021752583,1.4,0.9875207543373108,0.36447277085468693
5,1208.713843585686,0.02247535,16.2,0.9253765344619751,0.6908537292518677
1,165.0866232483805,0.02698395,7.364341085271318,0.9966885447502136,0.7286996698723389
2,413.34094440499484,0.03781776,14.102564102564102,0.984699547290802,0.7537873059511184
1,413.34094440499484,0.03781776,14.102564102564102,0.984699547290802,0.7537873059511184
3,0,0.021943197,0.0,0.9869471788406372,0.18665592280717996
2,571.1504809591387,0.016078994,13.4,0.9598534107208252,0.6376833578714958
4,1166.0043555655266,0.021828825,23.0,0.9187968373298645,0.6854407061082431
3,748.45013403062,0.014520758,10.2,0.9710691571235657,0.6247411966371613
5,202.22667894094442,0.008286101,2.0,0.9961282014846802,0.5728821024155387
4,0,0.017886512,0.0,0.98720383644104,0.1528512043448595
5,338.18902260349785,0.022385446,2.2,0.9899955987930298,0.69035306166953
1,4464.359532055822,0.07639487,17.204301075268816,0.9996348023414612,0.7538447492397748
2,254.68403617522392,0.014538454,3.4,0.9883845448493958,0.6249552614509296
3,704.6987364036854,0.014860967,9.4,0.9636737108230591,0.6275478304674228
4,3.497138780834302,0.01646534,1.6,0.9947162866592407,0.346865561586958
5,1.3869968527134011,0.022717742,1.2,0.9848194122314453,0.3454139471360568
