Iteration,PitchVar,EnergyMean,SpeechRate,ConfScore,Reward
1,347.66046663911084,0.032454755,19.92753623188406,0.0,0.75
1,347.66046663911084,0.032454755,19.92753623188406,0.0,0.75
2,116.46467619335584,0.00993172,4.6,0.0,0.5268721258382985
2,116.46467619335584,0.0099129295,4.6,0.0,0.5267155394694198
3,0,0.022611357,0.0,0.0,0.18842797726392746
3,116.46467619335584,0.009846859,4.6,0.0,0.5261649493243286
4,0,0.018341595,0.0,0.0,0.1528466275582711
4,116.46467619335584,0.010258419,4.6,0.0,0.5295946223155646
5,0,0.0,0.0,0.0,0.0
5,472.8345705511524,0.014365708,11.0,0.0,0.6197142371286949
1,179.40576920407273,0.023125201,22.8,0.0,0.6927100121974945
2,0,0.02983406,0.0,0.0,0.2486171666532755
3,0,0.029829554,0.0,0.0,0.24857961883147559
4,0,0.029828047,0.0,0.0,0.24856706149876118
5,0,0.029827498,0.0,0.0,0.24856248249610266
1,922.7794837812681,0.033776503,25.000000000000004,0.0,0.75
2,0,0.029839382,0.0,0.0,0.24866151312987012
3,0,0.029830398,0.0,0.0,0.24858665031691393
4,0,0.029832497,0.0,0.0,0.2486041436592738
5,0,0.029837305,0.0,0.0,0.24864420605202517
